sweep,label,generator,n,requested_threads,omp_schedule,omp_chunk,repetitions,warmup,min_seconds,median_seconds,mean_seconds,max_seconds,estimated_flops,median_gflops,matrix_bytes,matrix_mib
thread_scaling,cholesky_v3_openmp_t1,corr,1024,1,static,0,7,1,0.092991465,0.093004513,0.093006987,0.093027549,357913941.333333313,3.848350255,8388608.000000000,8.000000000
thread_scaling,cholesky_v3_openmp_t2,corr,1024,2,static,0,7,1,0.070729530,0.070740189,0.070739376,0.070750635,357913941.333333313,5.059555910,8388608.000000000,8.000000000
thread_scaling,cholesky_v3_openmp_t4,corr,1024,4,static,0,7,1,0.043227308,0.043241090,0.043276129,0.043494058,357913941.333333313,8.277172045,8388608.000000000,8.000000000
thread_scaling,cholesky_v3_openmp_t16,corr,1024,16,static,0,7,1,0.020251993,0.020539297,0.020516707,0.020740336,357913941.333333313,17.425812643,8388608.000000000,8.000000000
thread_scaling,cholesky_v3_openmp_t32,corr,1024,32,static,0,7,1,0.019731619,0.019861277,0.019894128,0.020128027,357913941.333333313,18.020691285,8388608.000000000,8.000000000
