sweep,label,generator,n,requested_threads,omp_schedule,omp_chunk,repetitions,warmup,min_seconds,median_seconds,mean_seconds,max_seconds,estimated_flops,median_gflops,matrix_bytes,matrix_mib
schedule_study,cholesky_v3_openmp_static_default,corr,1024,4,static,0,7,1,0.060344146,0.060854161,0.060774249,0.061220967,357913941.333333313,5.881503178,8388608.000000000,8.000000000
schedule_study,cholesky_v3_openmp_static_c1,corr,1024,4,static,1,7,1,0.060230397,0.061544958,0.063246526,0.075457340,357913941.333333313,5.815487620,8388608.000000000,8.000000000
schedule_study,cholesky_v3_openmp_static_c8,corr,1024,4,static,8,7,1,0.060352690,0.060948664,0.060927009,0.061457438,357913941.333333313,5.872383705,8388608.000000000,8.000000000
schedule_study,cholesky_v3_openmp_dynamic_c1,corr,1024,4,dynamic,1,7,1,0.061474830,0.063578408,0.063143890,0.064218107,357913941.333333313,5.629488888,8388608.000000000,8.000000000
schedule_study,cholesky_v3_openmp_dynamic_c8,corr,1024,4,dynamic,8,7,1,0.060640483,0.064681046,0.064196128,0.066763990,357913941.333333313,5.533521232,8388608.000000000,8.000000000
schedule_study,cholesky_v3_openmp_guided_c1,corr,1024,4,guided,1,7,1,0.060690622,0.061239349,0.064690208,0.078771194,357913941.333333313,5.844509244,8388608.000000000,8.000000000
schedule_study,cholesky_v3_openmp_guided_c8,corr,1024,4,guided,8,7,1,0.060579187,0.061569820,0.061442577,0.062758865,357913941.333333313,5.813139316,8388608.000000000,8.000000000
