n,cholesky_logdet,numpy_logdet,abs_error,rel_error,elapsed_seconds,status
2,-1.81142342625572536e-02,-1.81142342625572432e-02,1.04083408558608426e-17,1.04083408558608426e-17,2.60500000000000005e-06,PASS
8,-1.44957381479541905e+01,-1.44957381479541816e+01,8.88178419700125232e-15,6.12716931442001827e-16,4.38100000000000007e-06,PASS
32,-1.16165652943484304e+02,-1.16165652943484375e+02,7.10542735760100186e-14,6.11663359827870600e-16,8.67700000000000010e-06,PASS
128,-5.48781239346207599e+02,-5.48781239346207940e+02,3.41060513164848089e-13,6.21487195100130390e-16,1.96712000000000010e-04,PASS
512,-2.30674725333732249e+03,-2.30674725333732204e+03,4.54747350886464119e-13,1.97137918004909895e-16,1.18935050000000004e-02,PASS
1024,-4.65903359465876201e+03,-4.65903359465876019e+03,1.81898940354585648e-12,3.90422040663367255e-16,9.24316599999999988e-02,PASS
