sweep,label,generator,n,requested_threads,omp_schedule,omp_chunk,repetitions,warmup,min_seconds,median_seconds,mean_seconds,max_seconds,estimated_flops,median_gflops,matrix_bytes,matrix_mib
thread_scaling_extended_n1024,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n1024_t24,corr,1024,24,static,0,7,1,0.019060558,0.019103855,0.019097595,0.019126364,357913941.333333313,18.735168443,8388608.000000000,8.000000000
thread_scaling_extended_n1024,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n1024_t28,corr,1024,28,static,0,7,1,0.019097998,0.019176077,0.019188097,0.019261863,357913941.333333313,18.664607017,8388608.000000000,8.000000000
thread_scaling_extended_n1024,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n1024_t32,corr,1024,32,static,0,7,1,0.019788723,0.019900262,0.019882861,0.019957746,357913941.333333313,17.985388400,8388608.000000000,8.000000000
thread_scaling_extended_n1024,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n1024_t64,corr,1024,64,static,0,7,1,0.027917426,0.028014242,0.027995411,0.028074639,357913941.333333313,12.776142268,8388608.000000000,8.000000000
thread_scaling_extended_n2048,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n2048_t1,corr,2048,1,static,0,7,1,0.748174939,0.748347438,0.748326055,0.748474573,2863311530.666666508,3.826179372,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n2048_t2,corr,2048,2,static,0,7,1,0.563397909,0.564097553,0.564002988,0.564485724,2863311530.666666508,5.075915532,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n2048_t4,corr,2048,4,static,0,7,1,0.335530165,0.335666285,0.335788645,0.336258453,2863311530.666666508,8.530232730,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n2048_t6,corr,2048,6,static,0,7,1,0.241922024,0.242066975,0.242650748,0.246051504,2863311530.666666508,11.828592193,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n2048_t8,corr,2048,8,static,0,7,1,0.187722725,0.187869693,0.187947255,0.188609712,2863311530.666666508,15.240944321,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n2048_t10,corr,2048,10,static,0,7,1,0.159099976,0.159203803,0.159175955,0.159236299,2863311530.666666508,17.985195559,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n2048_t12,corr,2048,12,static,0,7,1,0.139171129,0.139296561,0.139278564,0.139356966,2863311530.666666508,20.555507689,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n2048_t14,corr,2048,14,static,0,7,1,0.123455821,0.123573785,0.123558677,0.123632034,2863311530.666666508,23.170865331,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n2048_t16,corr,2048,16,static,0,7,1,0.112144932,0.112214556,0.112225055,0.112377251,2863311530.666666508,25.516400303,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n2048_t18,corr,2048,18,static,0,7,1,0.104594772,0.105194970,0.105202858,0.105655080,2863311530.666666508,27.219091661,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n2048_t20,corr,2048,20,static,0,7,1,0.099387078,0.100089424,0.099977704,0.100312501,2863311530.666666508,28.607533306,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n2048_t24,corr,2048,24,static,0,7,1,0.089388972,0.089551912,0.089531588,0.089676943,2863311530.666666508,31.973762109,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n2048_t28,corr,2048,28,static,0,7,1,0.085636386,0.085842313,0.085913639,0.086309414,2863311530.666666508,33.355479723,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n2048_t32,corr,2048,32,static,0,7,1,0.084806582,0.084939106,0.085005332,0.085259637,2863311530.666666508,33.710167972,33554432.000000000,32.000000000
thread_scaling_extended_n2048,cholesky_v3_openmp_icelake_thread_scaling_study_thread_ext_n2048_t64,corr,2048,64,static,0,7,1,0.108361651,0.109210836,0.109175591,0.110025218,2863311530.666666508,26.218199911,33554432.000000000,32.000000000
