sweep,label,generator,n,requested_threads,omp_schedule,omp_chunk,repetitions,warmup,min_seconds,median_seconds,mean_seconds,max_seconds,estimated_flops,median_gflops,matrix_bytes,matrix_mib
thread_scaling,cholesky_v2_serial_blocked_t1,corr,1024,1,static,0,7,1,0.094043081,0.094073157,0.094149334,0.094278230,357913941.333333313,3.804634103,8388608.000000000,8.000000000
thread_scaling,cholesky_v2_serial_blocked_t2,corr,1024,2,static,0,7,1,0.094034067,0.094048185,0.094079708,0.094270193,357913941.333333313,3.805644323,8388608.000000000,8.000000000
thread_scaling,cholesky_v2_serial_blocked_t4,corr,1024,4,static,0,7,1,0.094032444,0.094054243,0.094107024,0.094261565,357913941.333333313,3.805399203,8388608.000000000,8.000000000
thread_scaling,cholesky_v2_serial_blocked_t16,corr,1024,16,static,0,7,1,0.094047330,0.094072339,0.094132444,0.094314680,357913941.333333313,3.804667186,8388608.000000000,8.000000000
thread_scaling,cholesky_v2_serial_blocked_t32,corr,1024,32,static,0,7,1,0.094044077,0.094057012,0.094118872,0.094283495,357913941.333333313,3.805287173,8388608.000000000,8.000000000
