sweep,label,generator,n,requested_threads,omp_schedule,omp_chunk,repetitions,warmup,min_seconds,median_seconds,mean_seconds,max_seconds,estimated_flops,median_gflops,matrix_bytes,matrix_mib
schedule_study,cholesky_v2_serial_blocked_static_default,corr,1024,4,static,0,7,1,0.106710040,0.107276253,0.107744949,0.110145922,357913941.333333313,3.336376237,8388608.000000000,8.000000000
schedule_study,cholesky_v2_serial_blocked_static_c1,corr,1024,4,static,1,7,1,0.107229907,0.108346514,0.109182771,0.113131949,357913941.333333313,3.303419078,8388608.000000000,8.000000000
schedule_study,cholesky_v2_serial_blocked_static_c8,corr,1024,4,static,8,7,1,0.107004255,0.107743989,0.107944254,0.108952231,357913941.333333313,3.321892429,8388608.000000000,8.000000000
schedule_study,cholesky_v2_serial_blocked_dynamic_c1,corr,1024,4,dynamic,1,7,1,0.106588698,0.108434220,0.109463189,0.117897775,357913941.333333313,3.300747138,8388608.000000000,8.000000000
schedule_study,cholesky_v2_serial_blocked_dynamic_c8,corr,1024,4,dynamic,8,7,1,0.106519692,0.106820050,0.108769879,0.120511231,357913941.333333313,3.350625106,8388608.000000000,8.000000000
schedule_study,cholesky_v2_serial_blocked_guided_c1,corr,1024,4,guided,1,7,1,0.106515481,0.106547018,0.106588302,0.106851169,357913941.333333313,3.359211248,8388608.000000000,8.000000000
schedule_study,cholesky_v2_serial_blocked_guided_c8,corr,1024,4,guided,8,7,1,0.106860540,0.107847773,0.109450600,0.117622054,357913941.333333313,3.318695708,8388608.000000000,8.000000000
