sweep,label,generator,n,requested_threads,omp_schedule,omp_chunk,repetitions,warmup,min_seconds,median_seconds,mean_seconds,max_seconds,estimated_flops,median_gflops,matrix_bytes,matrix_mib
thread_scaling,cholesky_v4_parallel_opt_t1,corr,1024,1,guided,1,7,1,0.068892034,0.069990957,0.069954632,0.071873468,357913941.333333313,5.113716924,8388608.000000000,8.000000000
thread_scaling,cholesky_v4_parallel_opt_t2,corr,1024,2,guided,1,7,1,0.038393775,0.038924964,0.039001610,0.039875469,357913941.333333313,9.194971673,8388608.000000000,8.000000000
thread_scaling,cholesky_v4_parallel_opt_t4,corr,1024,4,guided,1,7,1,0.026342279,0.027250844,0.027281090,0.028371803,357913941.333333313,13.134049769,8388608.000000000,8.000000000
thread_scaling,cholesky_v4_parallel_opt_t16,corr,1024,16,guided,1,7,1,0.099852917,0.107425300,0.126703208,0.190224433,357913941.333333313,3.331747189,8388608.000000000,8.000000000
thread_scaling,cholesky_v4_parallel_opt_t32,corr,1024,32,guided,1,7,1,0.402585450,0.497687021,0.511612908,0.598521166,357913941.333333313,0.719154662,8388608.000000000,8.000000000
