n,cholesky_logdet,numpy_logdet,abs_error,rel_error,elapsed_seconds,status
2,-1.81142342625572536e-02,-1.81142342625572432e-02,1.04083408558608426e-17,1.04083408558608426e-17,3.87200000000000037e-06,PASS
8,-1.44957381479541905e+01,-1.44957381479541816e+01,8.88178419700125232e-15,6.12716931442001827e-16,2.90900000000000002e-06,PASS
32,-1.16165652943484304e+02,-1.16165652943484375e+02,7.10542735760100186e-14,6.11663359827870600e-16,9.91599999999999959e-06,PASS
128,-5.48781239346207713e+02,-5.48781239346207940e+02,2.27373675443232059e-13,4.14324796733420244e-16,1.60246999999999999e-04,PASS
512,-2.30674725333732113e+03,-2.30674725333732204e+03,9.09494701772928238e-13,3.94275836009819789e-16,8.54576200000000015e-03,PASS
1024,-4.65903359465875747e+03,-4.65903359465876019e+03,2.72848410531878471e-12,5.85633060995050858e-16,6.45027920000000032e-02,PASS
