sweep,label,generator,n,requested_threads,omp_schedule,omp_chunk,repetitions,warmup,min_seconds,median_seconds,mean_seconds,max_seconds,estimated_flops,median_gflops,matrix_bytes,matrix_mib
schedule_study,cholesky_v4_parallel_opt_static_default,corr,1024,4,static,0,7,1,0.026382815,0.026623597,0.026576759,0.026724813,357913941.333333313,13.443485542,8388608.000000000,8.000000000
schedule_study,cholesky_v4_parallel_opt_static_c1,corr,1024,4,static,1,7,1,0.026187592,0.026427372,0.026430797,0.026659140,357913941.333333313,13.543304318,8388608.000000000,8.000000000
schedule_study,cholesky_v4_parallel_opt_static_c8,corr,1024,4,static,8,7,1,0.034710033,0.034820054,0.034837252,0.034975592,357913941.333333313,10.278959973,8388608.000000000,8.000000000
schedule_study,cholesky_v4_parallel_opt_dynamic_c1,corr,1024,4,dynamic,1,7,1,0.024135581,0.024172184,0.024188478,0.024272347,357913941.333333313,14.806851600,8388608.000000000,8.000000000
schedule_study,cholesky_v4_parallel_opt_dynamic_c8,corr,1024,4,dynamic,8,7,1,0.036306155,0.036376471,0.036419821,0.036586950,357913941.333333313,9.839160630,8388608.000000000,8.000000000
schedule_study,cholesky_v4_parallel_opt_guided_c1,corr,1024,4,guided,1,7,1,0.021518016,0.021587370,0.021597810,0.021676712,357913941.333333313,16.579784445,8388608.000000000,8.000000000
schedule_study,cholesky_v4_parallel_opt_guided_c8,corr,1024,4,guided,8,7,1,0.033813776,0.034063858,0.034383369,0.036340900,357913941.333333313,10.507146352,8388608.000000000,8.000000000
