n,cholesky_logdet,numpy_logdet,abs_error,rel_error,elapsed_seconds,status
2,-1.81142342625572536e-02,-1.81142342625572432e-02,1.04083408558608426e-17,1.04083408558608426e-17,1.22000000000000007e-07,PASS
8,-1.44957381479541905e+01,-1.44957381479541816e+01,8.88178419700125232e-15,6.12716931442001827e-16,5.68000000000000004e-07,PASS
32,-1.16165652943484304e+02,-1.16165652943484375e+02,7.10542735760100186e-14,6.11663359827870600e-16,5.44100000000000008e-06,PASS
128,-5.48781239346207940e+02,-5.48781239346207940e+02,0.00000000000000000e+00,0.00000000000000000e+00,1.92561999999999990e-04,PASS
512,-2.30674725333732249e+03,-2.30674725333732204e+03,4.54747350886464119e-13,1.97137918004909895e-16,1.42925239999999992e-02,PASS
1024,-4.65903359465875656e+03,-4.65903359465876019e+03,3.63797880709171295e-12,7.80844081326734510e-16,1.21422613999999998e-01,PASS
