sweep,label,generator,n,requested_threads,omp_schedule,omp_chunk,repetitions,warmup,min_seconds,median_seconds,mean_seconds,max_seconds,estimated_flops,median_gflops,matrix_bytes,matrix_mib
schedule_study,cholesky_v1_serial_opt_static_default,corr,1024,4,static,0,7,1,0.148153374,0.149411412,0.151614665,0.166169906,357913941.333333313,2.395492664,8388608.000000000,8.000000000
schedule_study,cholesky_v1_serial_opt_static_c1,corr,1024,4,static,1,7,1,0.143767731,0.144540279,0.145723551,0.149434162,357913941.333333313,2.476222848,8388608.000000000,8.000000000
schedule_study,cholesky_v1_serial_opt_static_c8,corr,1024,4,static,8,7,1,0.143486668,0.144136519,0.144932267,0.150296595,357913941.333333313,2.483159326,8388608.000000000,8.000000000
schedule_study,cholesky_v1_serial_opt_dynamic_c1,corr,1024,4,dynamic,1,7,1,0.144036618,0.144301358,0.144331867,0.144647416,357913941.333333313,2.480322752,8388608.000000000,8.000000000
schedule_study,cholesky_v1_serial_opt_dynamic_c8,corr,1024,4,dynamic,8,7,1,0.144454671,0.150002021,0.152070479,0.160997033,357913941.333333313,2.386060794,8388608.000000000,8.000000000
schedule_study,cholesky_v1_serial_opt_guided_c1,corr,1024,4,guided,1,7,1,0.144633219,0.145215858,0.146843878,0.151442438,357913941.333333313,2.464702866,8388608.000000000,8.000000000
schedule_study,cholesky_v1_serial_opt_guided_c8,corr,1024,4,guided,8,7,1,0.144521029,0.145518305,0.146213731,0.151616461,357913941.333333313,2.459580197,8388608.000000000,8.000000000
