n,cholesky_logdet,numpy_logdet,abs_error,rel_error,elapsed_seconds,status
2,-1.81142342625572536e-02,-1.81142342625572432e-02,1.04083408558608426e-17,1.04083408558608426e-17,9.80000000000000040e-08,PASS
8,-1.44957381479541869e+01,-1.44957381479541816e+01,5.32907051820075139e-15,3.67630158865201096e-16,5.32000000000000052e-07,PASS
32,-1.16165652943484403e+02,-1.16165652943484375e+02,2.84217094304040074e-14,2.44665343931148240e-16,7.53600000000000035e-06,PASS
128,-5.48781239346207826e+02,-5.48781239346207940e+02,1.13686837721616030e-13,2.07162398366710122e-16,1.44366799999999995e-03,PASS
512,-2.30674725333732067e+03,-2.30674725333732204e+03,1.36424205265939236e-12,5.91413754014729684e-16,1.91437998999999998e-01,PASS
1024,-4.65903359465876110e+03,-4.65903359465876019e+03,9.09494701772928238e-13,1.95211020331683628e-16,1.89406668800000011e+00,PASS
