sweep,label,generator,n,requested_threads,omp_schedule,omp_chunk,repetitions,warmup,min_seconds,median_seconds,mean_seconds,max_seconds,estimated_flops,median_gflops,matrix_bytes,matrix_mib
thread_scaling,cholesky_v0_baseline_t1,corr,1024,1,static,0,7,1,2.200797033,2.210557532,2.220294163,2.269731427,357913941.333333313,0.161911163,8388608.000000000,8.000000000
thread_scaling,cholesky_v0_baseline_t2,corr,1024,2,static,0,7,1,2.182795569,2.192622702,2.196766670,2.216801190,357913941.333333313,0.163235536,8388608.000000000,8.000000000
thread_scaling,cholesky_v0_baseline_t4,corr,1024,4,static,0,7,1,2.194785223,2.197917317,2.208708456,2.241580101,357913941.333333313,0.162842314,8388608.000000000,8.000000000
thread_scaling,cholesky_v0_baseline_t16,corr,1024,16,static,0,7,1,2.242055730,2.260475855,2.259806645,2.270285327,357913941.333333313,0.158335662,8388608.000000000,8.000000000
thread_scaling,cholesky_v0_baseline_t32,corr,1024,32,static,0,7,1,2.257635174,2.265754384,2.267744235,2.280440607,357913941.333333313,0.157966788,8388608.000000000,8.000000000
