sweep,label,generator,n,requested_threads,omp_schedule,omp_chunk,repetitions,warmup,min_seconds,median_seconds,mean_seconds,max_seconds,estimated_flops,median_gflops,matrix_bytes,matrix_mib
schedule_study,cholesky_v0_baseline_static_default,corr,1024,4,static,0,7,1,2.252726936,2.266853577,2.266029616,2.280936323,357913941.333333313,0.157890190,8388608.000000000,8.000000000
schedule_study,cholesky_v0_baseline_static_c1,corr,1024,4,static,1,7,1,2.191955166,2.203444945,2.223243742,2.271065431,357913941.333333313,0.162433803,8388608.000000000,8.000000000
schedule_study,cholesky_v0_baseline_static_c8,corr,1024,4,static,8,7,1,2.190865326,2.199922763,2.200109776,2.212657184,357913941.333333313,0.162693867,8388608.000000000,8.000000000
schedule_study,cholesky_v0_baseline_dynamic_c1,corr,1024,4,dynamic,1,7,1,2.170295164,2.185010382,2.185117710,2.202846346,357913941.333333313,0.163804229,8388608.000000000,8.000000000
schedule_study,cholesky_v0_baseline_dynamic_c8,corr,1024,4,dynamic,8,7,1,2.183766634,2.187161842,2.186964791,2.192522886,357913941.333333313,0.163643099,8388608.000000000,8.000000000
schedule_study,cholesky_v0_baseline_guided_c1,corr,1024,4,guided,1,7,1,2.184210131,2.189607921,2.196748208,2.221272169,357913941.333333313,0.163460288,8388608.000000000,8.000000000
schedule_study,cholesky_v0_baseline_guided_c8,corr,1024,4,guided,8,7,1,2.190211019,2.208609686,2.206625914,2.223191808,357913941.333333313,0.162053958,8388608.000000000,8.000000000
